transportmåte,ruteform,statistikkvariabel,år,value
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2022,7753.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2023,8134.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2015,1510909.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2016,1680733.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2017,1853372.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2018,1921255.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2019,1995331.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2020,1126271.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2021,1160991.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2022,1841388.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2023,1964282.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2015,160291.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2016,170781.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2017,181882.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2018,189122.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2019,191991.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2020,109788.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2021,114946.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2022,162294.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2023,184748.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2015,33.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2016,131.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2017,135.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2018,115.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2019,116.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2020,60.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2021,104.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2022,164.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2023,245.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2015,160259.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2016,170650.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2017,181747.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2018,189008.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2019,191875.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2020,109728.0
